FID	IID	Pop_inferred
BD15	HG03794	SAS
BD15	HG03795	SAS
BD16	HG03796	SAS
BD16	HG03797	SAS
BD16	HG03798	SAS
BD17	HG03799	SAS
BD17	HG03800	SAS
BD17	HG03801	SAS
BD18	HG03802	SAS
BD18	HG03803	SAS
BD18	HG03804	SAS
BD19	HG03805	SAS
BD19	HG03806	SAS
BD19	HG03807	SAS
BD20	HG03808	SAS
BD20	HG03809	SAS
BD21	HG03811	SAS
BD21	HG03813	SAS
BD22	HG03814	SAS
BD22	HG03815	SAS
BD22	HG03816	SAS
BD23	HG03817	SAS
BD24	HG03821	SAS
BD24	HG03822	SAS
BD25	HG03823	SAS
BD25	HG03824	SAS
BD25	HG03825	SAS
BD26	HG03826	SAS
BD27	HG03829	SAS
BD27	HG03830	SAS
BD27	HG03831	SAS
BD28	HG03832	SAS
BD28	HG03833	SAS
BD28	HG03834	SAS
BD29	HG03901	SAS
BD29	HG03903	SAS
BD3	HG03012	SAS
BD30	HG03904	SAS
BD30	HG03905	SAS
BD30	HG03906	SAS
BD31	HG03907	SAS
BD31	HG03908	SAS
BD31	HG03909	SAS
BD32	HG03910	SAS
BD32	HG03911	SAS
BD33	HG03913	SAS
BD33	HG03914	SAS
BD33	HG03915	SAS
BD34	HG03917	SAS
BD35	HG03919	SAS
BD35	HG03920	SAS
BD36	HG03922	SAS
BD36	HG03924	SAS
BD37	HG03925	SAS
BD37	HG03926	SAS
BD37	HG03927	SAS
BD38	HG03928	SAS
BD38	HG03929	SAS
BD38	HG03930	SAS
BD39	HG03931	SAS
BD4	HG03585	SAS
BD4	HG03587	SAS
BD40	HG03934	SAS
BD41	HG03937	SAS
BD41	HG03939	SAS
BD42	HG03940	SAS
BD42	HG03941	SAS
BD42	HG03942	SAS
BD43	HG04128	SAS
BD44	HG04131	SAS
BD44	HG04132	SAS
BD44	HG04133	SAS
BD45	HG04134	SAS
BD45	HG04135	SAS
BD45	HG04136	SAS
BD47	HG04140	SAS
BD47	HG04141	SAS
BD47	HG04142	SAS
BD48	HG04144	SAS
BD49	HG04146	SAS
BD49	HG04147	SAS
BD49	HG04148	SAS
BD50	HG04149	SAS
BD50	HG04150	SAS
BD50	HG04151	SAS
BD51	HG04152	SAS
BD51	HG04153	SAS
BD52	HG04155	SAS
BD52	HG04156	SAS
BD52	HG04157	SAS
BD53	HG04158	SAS
BD53	HG04159	SAS
BD53	HG04160	SAS
BD54	HG04161	SAS
BD54	HG04162	SAS
BD55	HG04164	SAS
BD57	HG04171	SAS
BD58	HG04173	SAS
BD58	HG04174	SAS
BD58	HG04175	SAS
BD59	HG04176	SAS
BD59	HG04177	SAS
BD6	HG03593	SAS
BD60	HG04180	SAS
BD60	HG04181	SAS
BD61	HG04182	SAS
BD61	HG04183	SAS
BD61	HG04184	SAS
BD62	HG04185	SAS
BD62	HG04186	SAS
BD62	HG04187	SAS
BD63	HG04188	SAS
BD63	HG04189	SAS
BD64	HG04191	SAS
BD64	HG04192	SAS
BD64	HG04193	SAS
BD65	HG04194	SAS
BD65	HG04195	SAS
BD7	HG03594	SAS
BD7	HG03595	SAS
BD7	HG03596	SAS
BD8	HG03598	SAS
BD8	HG03599	SAS
HG03009	HG03009	SAS
HG03812	HG03812	SAS
HG03902	HG03902	SAS
HG03916	HG03916	SAS
CDX1	HG00866	EAS
CDX1	HG00867	EAS
CDX2	HG02371	EAS
CDX2	HG02372	EAS
HG00759	HG00759	EAS
HG00766	HG00766	EAS
HG00844	HG00844	EAS
HG00851	HG00851	EAS
HG00864	HG00864	EAS
HG00879	HG00879	EAS
HG00881	HG00881	EAS
HG00956	HG00956	EAS
HG00978	HG00978	EAS
HG00982	HG00982	EAS
HG00983	HG00983	EAS
HG01028	HG01028	EAS
HG01029	HG01029	EAS
HG01031	HG01031	EAS
HG01046	HG01046	EAS
HG01794	HG01794	EAS
HG01795	HG01795	EAS
HG01796	HG01796	EAS
HG01797	HG01797	EAS
HG01798	HG01798	EAS
HG01799	HG01799	EAS
HG01800	HG01800	EAS
HG01801	HG01801	EAS
HG01802	HG01802	EAS
HG01804	HG01804	EAS
HG01805	HG01805	EAS
HG01806	HG01806	EAS
HG01807	HG01807	EAS
HG01808	HG01808	EAS
HG01809	HG01809	EAS
HG01810	HG01810	EAS
HG01811	HG01811	EAS
HG01812	HG01812	EAS
HG01813	HG01813	EAS
HG01815	HG01815	EAS
HG01816	HG01816	EAS
HG01817	HG01817	EAS
HG02151	HG02151	EAS
HG02152	HG02152	EAS
HG02153	HG02153	EAS
HG02154	HG02154	EAS
HG02155	HG02155	EAS
HG02156	HG02156	EAS
HG02164	HG02164	EAS
HG02165	HG02165	EAS
HG02166	HG02166	EAS
HG02168	HG02168	EAS
HG02169	HG02169	EAS
HG02170	HG02170	EAS
HG02173	HG02173	EAS
HG02176	HG02176	EAS
HG02178	HG02178	EAS
HG02179	HG02179	EAS
HG02180	HG02180	EAS
HG02181	HG02181	EAS
HG02182	HG02182	EAS
HG02184	HG02184	EAS
HG02185	HG02185	EAS
HG02186	HG02186	EAS
HG02187	HG02187	EAS
HG02188	HG02188	EAS
HG02189	HG02189	EAS
HG02190	HG02190	EAS
HG02250	HG02250	EAS
HG02351	HG02351	EAS
HG02353	HG02353	EAS
HG02355	HG02355	EAS
HG02356	HG02356	EAS
HG02358	HG02358	EAS
HG02360	HG02360	EAS
HG02363	HG02363	EAS
HG02364	HG02364	EAS
HG02367	HG02367	EAS
HG02373	HG02373	EAS
HG02374	HG02374	EAS
HG02375	HG02375	EAS
HG02377	HG02377	EAS
HG02379	HG02379	EAS
HG02380	HG02380	EAS
HG02381	HG02381	EAS
HG02382	HG02382	EAS
