FID	IID	Pop	#IID	PAT	MAT	SEX	SuperPop	Population
BB59	HG02505	ACB	HG02505	0	0	2.0	AFR	ACB
BB60	HG02508	ACB	HG02508	0	0	2.0	AFR	ACB
BB61	HG02536	ACB	HG02536	0	0	1.0	AFR	ACB
BB61	HG02537	ACB	HG02537	0	0	2.0	AFR	ACB
BB63	HG02541	ACB	HG02541	0	0	1.0	AFR	ACB
BB64	HG02545	ACB	HG02545	0	0	1.0	AFR	ACB
BB64	HG02546	ACB	HG02546	0	0	2.0	AFR	ACB
BB64	HG02547	ACB						
BB65	HG02549	ACB	HG02549	0	0	2.0	AFR	ACB
BB67	HG02554	ACB	HG02554	0	0	1.0	AFR	ACB
BB67	HG02555	ACB	HG02555	0	0	2.0	AFR	ACB
BB68	HG02557	ACB	HG02557	0	0	1.0	AFR	ACB
BB68	HG02558	ACB	HG02558	0	0	2.0	AFR	ACB
BB68	HG02559	ACB						
BB69	HG02577	ACB	HG02577	0	0	2.0	AFR	ACB
BB70	HG02580	ACB	HG02580	0	0	2.0	AFR	ACB
2357	NA19625	ASW	NA19625	0	0	2.0	AFR	ASW
2357a	NA20274	ASW	NA20274	0	0	2.0	AFR	ASW
2367	NA19700	ASW	NA19700	0	0	1.0	AFR	ASW
2367	NA19701	ASW	NA19701	0	0	2.0	AFR	ASW
2367	NA19702	ASW						
2368	NA19703	ASW	NA19703	0	0	1.0	AFR	ASW
2368	NA19704	ASW	NA19704	0	0	2.0	AFR	ASW
2368	NA19705	ASW						
2369	NA19707	ASW	NA19707	0	0	2.0	AFR	ASW
2369	NA19708	ASW						
2371	NA19711	ASW	NA19711	0	0	1.0	AFR	ASW
2371	NA19712	ASW	NA19712	0	0	2.0	AFR	ASW
2418	NA19818	ASW	NA19818	0	0	1.0	AFR	ASW
2418	NA19819	ASW	NA19819	0	0	2.0	AFR	ASW
2418	NA19828	ASW						
2424	NA19834	ASW	NA19834	0	0	1.0	AFR	ASW
2424	NA19835	ASW	NA19835	0	0	2.0	AFR	ASW
2424	NA19836	ASW						
2425	NA19900	ASW	NA19900	0	0	1.0	AFR	ASW
2425	NA19901	ASW	NA19901	0	0	2.0	AFR	ASW
2425	NA19902	ASW						
2426	NA19904	ASW	NA19904	0	0	1.0	AFR	ASW
2426	NA19905	ASW						
2426a	NA19913	ASW	NA19913	NA19904	0	2.0	AFR	ASW
2427	NA19908	ASW	NA19908	0	0	1.0	AFR	ASW
2427	NA19909	ASW	NA19909	0	0	2.0	AFR	ASW
2427	NA19919	ASW						
2430	NA19914	ASW	NA19914	0	0	2.0	AFR	ASW
2430	NA19915	ASW						
2431	NA19916	ASW	NA19916	0	0	1.0	AFR	ASW
2431	NA19917	ASW	NA19917	0	0	2.0	AFR	ASW
2431	NA19918	ASW						
2433	NA19920	ASW	NA19920	0	0	1.0	AFR	ASW
2433	NA19921	ASW	NA19921	0	0	2.0	AFR	ASW
2433	NA20129	ASW						
2434	NA19922	ASW	NA19922	0	0	1.0	AFR	ASW
2434	NA19923	ASW	NA19923	0	0	2.0	AFR	ASW
2434	NA19924	ASW						
2436	NA19713	ASW	NA19713	0	0	2.0	AFR	ASW
2436	NA19982	ASW	NA19982	0	0	1.0	AFR	ASW
2436	NA19983	ASW						
2437	NA19714	ASW						
2437	NA19985	ASW						
2437a	NA19984	ASW	NA19984	0	0	1.0	AFR	ASW
2446	NA20126	ASW	NA20126	0	0	1.0	AFR	ASW
