FID	IID	SuperPop
NG29	HG03110	
NG30	HG03111	AFR
NG30	HG03112	AFR
NG30	HG03113	
NG31	HG03114	AFR
NG31	HG03115	AFR
NG31	HG03116	
NG32	HG03117	AFR
NG32	HG03118	AFR
NG32	HG03119	
NG33	HG03120	AFR
NG33	HG03121	AFR
NG33	HG03122	
NG34	HG03123	AFR
NG34	HG03124	AFR
NG34	HG03125	
NG35	HG03126	AFR
NG35	HG03127	AFR
NG35	HG03128	
NG36	HG03129	AFR
NG36	HG03130	AFR
NG36	HG03131	
NG37	HG03132	AFR
NG37	HG03133	AFR
NG37	HG03134	
NG38	HG03135	AFR
NG38	HG03136	AFR
NG38	HG03137	
NG39	HG03139	AFR
NG39	HG03140	
NG45	HG03157	AFR
NG45	HG03158	
NG46	HG03159	AFR
NG46	HG03160	AFR
NG46	HG03161	
NG47	HG03162	AFR
NG47	HG03163	AFR
NG47	HG03164	
NG48	HG03166	AFR
NG48	HG03167	
NG49	HG03168	AFR
NG49	HG03169	AFR
NG49	HG03170	
NG50	HG03172	AFR
NG50	HG03173	
NG51	HG03175	AFR
NG51	HG03176	
NG56	HG03189	AFR
NG56	HG03190	AFR
NG56	HG03191	
NG57	HG03193	AFR
NG57	HG03194	
NG58	HG03195	AFR
NG58	HG03196	AFR
NG58	HG03197	
NG59	HG03198	AFR
NG59	HG03199	AFR
NG59	HG03200	
NG60	HG03202	AFR
NG60	HG03203	
NG63	HG03265	AFR
NG63	HG03266	
NG64	HG03267	AFR
NG64	HG03268	AFR
NG64	HG03269	
NG65	HG03270	AFR
NG65	HG03271	AFR
NG65	HG03272	
NG68	HG03279	AFR
NG68	HG03280	AFR
NG72	HG03291	AFR
NG72	HG03293	
NG73	HG03294	AFR
NG73	HG03295	AFR
NG73	HG03296	
NG74	HG03297	AFR
NG74	HG03298	AFR
NG74	HG03299	
NG75	HG03300	AFR
NG75	HG03301	AFR
NG75	HG03302	
NG76	HG03303	AFR
NG76	HG03304	AFR
NG76	HG03305	
NG77	HG03306	
NG77	HG03307	
NG77	HG03308	
NG78	HG03309	
NG78	HG03310	
NG78	HG03311	AFR
NG79	HG03312	
NG79	HG03313	AFR
NG79	HG03314	
NG88	HG03339	
NG88	HG03341	
NG89	HG03342	AFR
NG89	HG03343	AFR
NG89	HG03344	
NG92	HG03350	
NG92	HG03351	AFR
NG92	HG03352	AFR
NG93	HG03354	AFR
NG95	HG03361	
NG95	HG03362	
NG96	HG03363	AFR
NG96	HG03365	
NG97	HG03366	AFR
NG97	HG03367	AFR
NG97	HG03368	
NG98	HG03369	AFR
NG98	HG03370	AFR
NG98	HG03371	
NG99	HG03372	AFR
NG99	HG03373	
NG99	HG03374	
HG00171	HG00171	EUR
HG00173	HG00173	EUR
HG00174	HG00174	EUR
HG00176	HG00176	EUR
HG00177	HG00177	EUR
HG00178	HG00178	EUR
HG00179	HG00179	EUR
HG00180	HG00180	EUR
HG00181	HG00181	EUR
HG00182	HG00182	EUR
HG00183	HG00183	EUR
HG00185	HG00185	EUR
HG00186	HG00186	EUR
HG00187	HG00187	EUR
HG00188	HG00188	EUR
HG00189	HG00189	EUR
HG00190	HG00190	EUR
HG00266	HG00266	EUR
HG00267	HG00267	EUR
HG00268	HG00268	EUR
HG00269	HG00269	EUR
HG00270	HG00270	
HG00271	HG00271	EUR
HG00272	HG00272	EUR
HG00273	HG00273	EUR
HG00274	HG00274	EUR
HG00275	HG00275	EUR
HG00276	HG00276	EUR
HG00277	HG00277	EUR
HG00278	HG00278	EUR
HG00280	HG00280	EUR
HG00281	HG00281	EUR
HG00282	HG00282	EUR
HG00284	HG00284	EUR
HG00285	HG00285	EUR
HG00288	HG00288	EUR
HG00290	HG00290	EUR
HG00302	HG00302	
HG00303	HG00303	
HG00304	HG00304	EUR
HG00306	HG00306	EUR
HG00308	HG00308	EUR
HG00309	HG00309	EUR
HG00310	HG00310	EUR
HG00311	HG00311	EUR
HG00312	HG00312	
HG00313	HG00313	EUR
HG00315	HG00315	EUR
HG00318	HG00318	EUR
HG00319	HG00319	EUR
HG00320	HG00320	EUR
HG00321	HG00321	EUR
HG00323	HG00323	EUR
HG00324	HG00324	EUR
HG00325	HG00325	EUR
HG00326	HG00326	EUR
HG00327	HG00327	EUR
HG00328	HG00328	EUR
HG00329	HG00329	EUR
HG00330	HG00330	EUR
HG00331	HG00331	EUR
HG00332	HG00332	EUR
HG00334	HG00334	EUR
HG00335	HG00335	EUR
HG00336	HG00336	EUR
HG00337	HG00337	EUR
HG00338	HG00338	EUR
HG00339	HG00339	EUR
HG00341	HG00341	EUR
HG00342	HG00342	EUR
HG00343	HG00343	EUR
HG00344	HG00344	EUR
HG00345	HG00345	EUR
HG00346	HG00346	EUR
HG00349	HG00349	EUR
HG00350	HG00350	EUR
HG00351	HG00351	EUR
HG00353	HG00353	EUR
HG00355	HG00355	EUR
HG00356	HG00356	EUR
HG00357	HG00357	EUR
HG00358	HG00358	EUR
HG00359	HG00359	
HG00360	HG00360	EUR
HG00361	HG00361	EUR
HG00362	HG00362	EUR
HG00364	HG00364	EUR
HG00365	HG00365	EUR
HG00366	HG00366	EUR
HG00367	HG00367	EUR
HG00368	HG00368	EUR
HG00369	HG00369	EUR
HG00371	HG00371	EUR
HG00372	HG00372	EUR
HG00373	HG00373	EUR
HG00375	HG00375	EUR
HG00376	HG00376	EUR
HG00377	HG00377	
HG00378	HG00378	EUR
HG00379	HG00379	EUR
HG00380	HG00380	EUR
HG00381	HG00381	EUR
HG00382	HG00382	EUR
HG00383	HG00383	EUR
HG00384	HG00384	EUR
GBR001	HG00144	
GBR001	HG00155	EUR
GBR002	HG00146	EUR
GBR002a	HG00147	
GBR003	HG00153	
GBR003	HG00158	EUR
GBR004	HG00247	
GBR004	HG00248	
HG00096	HG00096	EUR
HG00097	HG00097	EUR
HG00098	HG00098	
HG00099	HG00099	EUR
HG00100	HG00100	EUR
HG00101	HG00101	EUR
HG00102	HG00102	EUR
HG00103	HG00103	EUR
HG00104	HG00104	
HG00105	HG00105	EUR
HG00106	HG00106	EUR
HG00107	HG00107	EUR
HG00108	HG00108	EUR
HG00109	HG00109	EUR
HG00110	HG00110	EUR
HG00111	HG00111	EUR
HG00112	HG00112	EUR
HG00113	HG00113	EUR
HG00114	HG00114	EUR
HG00115	HG00115	EUR
HG00116	HG00116	EUR
HG00117	HG00117	EUR
HG00118	HG00118	EUR
HG00119	HG00119	EUR
HG00120	HG00120	EUR
HG00121	HG00121	EUR
HG00122	HG00122	EUR
HG00123	HG00123	EUR
HG00124	HG00124	
HG00125	HG00125	EUR
HG00126	HG00126	EUR
HG00127	HG00127	EUR
HG00128	HG00128	EUR
HG00129	HG00129	EUR
HG00130	HG00130	EUR
HG00131	HG00131	EUR
HG00132	HG00132	EUR
HG00133	HG00133	EUR
HG00134	HG00134	
HG00135	HG00135	
HG00136	HG00136	EUR
HG00137	HG00137	EUR
HG00138	HG00138	EUR
HG00139	HG00139	EUR
HG00140	HG00140	EUR
HG00141	HG00141	EUR
HG00142	HG00142	EUR
HG00143	HG00143	EUR
HG00145	HG00145	EUR
HG00148	HG00148	EUR
HG00149	HG00149	EUR
HG00150	HG00150	EUR
HG00151	HG00151	EUR
HG00152	HG00152	
HG00154	HG00154	EUR
HG00156	HG00156	
HG00157	HG00157	EUR
HG00159	HG00159	EUR
HG00160	HG00160	EUR
HG00231	HG00231	EUR
HG00232	HG00232	EUR
HG00233	HG00233	EUR
HG00234	HG00234	EUR
HG00235	HG00235	EUR
HG00236	HG00236	EUR
HG00237	HG00237	EUR
HG00238	HG00238	EUR
HG00239	HG00239	EUR
HG00240	HG00240	EUR
HG00242	HG00242	EUR
HG00243	HG00243	EUR
HG00244	HG00244	EUR
HG00245	HG00245	EUR
HG00246	HG00246	EUR
HG00249	HG00249	
HG00250	HG00250	EUR
HG00251	HG00251	EUR
HG00252	HG00252	EUR
HG00253	HG00253	EUR
HG00254	HG00254	EUR
HG00255	HG00255	EUR
HG00256	HG00256	EUR
HG00257	HG00257	EUR
HG00258	HG00258	EUR
HG00259	HG00259	EUR
HG00260	HG00260	EUR
HG00261	HG00261	EUR
HG00262	HG00262	EUR
HG00263	HG00263	EUR
HG00264	HG00264	EUR
HG00265	HG00265	EUR
HG01334	HG01334	EUR
HG01789	HG01789	EUR
HG01790	HG01790	EUR
HG01791	HG01791	EUR
HG02215	HG02215	EUR
HG04301	HG04301	
HG04302	HG04302	
HG04303	HG04303	
GIH001	NA20868	SAS
GIH001	NA20871	
GIH002	NA20886	SAS
GIH002	NA20898	
GIH003	NA20909	
GIH003	NA20910	SAS
NA20845	NA20845	SAS
NA20846	NA20846	SAS
NA20847	NA20847	SAS
NA20849	NA20849	SAS
NA20850	NA20850	SAS
NA20851	NA20851	SAS
NA20852	NA20852	SAS
NA20853	NA20853	SAS
NA20854	NA20854	SAS
NA20856	NA20856	SAS
NA20858	NA20858	SAS
NA20859	NA20859	SAS
NA20861	NA20861	SAS
NA20862	NA20862	SAS
NA20863	NA20863	SAS
NA20864	NA20864	SAS
NA20866	NA20866	SAS
NA20867	NA20867	SAS
NA20869	NA20869	SAS
NA20870	NA20870	SAS
NA20872	NA20872	SAS
NA20873	NA20873	
NA20874	NA20874	SAS
NA20875	NA20875	SAS
NA20876	NA20876	SAS
NA20877	NA20877	SAS
NA20878	NA20878	SAS
NA20879	NA20879	
NA20881	NA20881	SAS
NA20882	NA20882	SAS
NA20883	NA20883	
NA20884	NA20884	SAS
NA20885	NA20885	SAS
NA20887	NA20887	SAS
NA20888	NA20888	SAS
NA20889	NA20889	SAS
NA20890	NA20890	SAS
NA20891	NA20891	SAS
NA20892	NA20892	SAS
NA20893	NA20893	
NA20894	NA20894	SAS
NA20895	NA20895	SAS
NA20896	NA20896	SAS
NA20897	NA20897	SAS
NA20899	NA20899	SAS
NA20900	NA20900	SAS
NA20901	NA20901	SAS
NA20902	NA20902	SAS
NA20903	NA20903	SAS
NA20904	NA20904	SAS
NA20905	NA20905	SAS
NA20906	NA20906	SAS
NA20907	NA20907	
NA20908	NA20908	SAS
NA20911	NA20911	SAS
NA21086	NA21086	SAS
NA21087	NA21087	SAS
NA21088	NA21088	SAS
NA21089	NA21089	SAS
NA21090	NA21090	SAS
NA21091	NA21091	SAS
NA21092	NA21092	SAS
NA21093	NA21093	SAS
NA21094	NA21094	SAS
NA21095	NA21095	SAS
NA21097	NA21097	SAS
NA21098	NA21098	SAS
NA21099	NA21099	SAS
NA21100	NA21100	SAS
NA21101	NA21101	SAS
NA21102	NA21102	SAS
NA21103	NA21103	SAS
NA21104	NA21104	SAS
NA21105	NA21105	SAS
NA21106	NA21106	SAS
NA21107	NA21107	SAS
NA21108	NA21108	SAS
NA21109	NA21109	SAS
NA21110	NA21110	SAS
NA21111	NA21111	SAS
NA21112	NA21112	SAS
NA21113	NA21113	SAS
NA21114	NA21114	SAS
NA21115	NA21115	SAS
NA21116	NA21116	SAS
NA21117	NA21117	SAS
NA21118	NA21118	SAS
NA21119	NA21119	SAS
NA21120	NA21120	SAS
NA21121	NA21121	
NA21122	NA21122	SAS
NA21123	NA21123	SAS
NA21124	NA21124	SAS
NA21125	NA21125	SAS
NA21126	NA21126	SAS
NA21127	NA21127	SAS
NA21128	NA21128	SAS
NA21129	NA21129	SAS
NA21130	NA21130	SAS
NA21133	NA21133	SAS
NA21134	NA21134	
NA21135	NA21135	SAS
NA21137	NA21137	SAS
NA21141	NA21141	SAS
NA21142	NA21142	SAS
NA21143	NA21143	SAS
NA21144	NA21144	SAS
GB105	HG03024	AFR
GB105	HG03025	AFR
GB105	HG03026	
GB106	HG03027	AFR
GB106	HG03028	AFR
GB106	HG03029	
GB108	HG03033	
GB108	HG03034	
GB108	HG03035	
GB110	HG03039	AFR
GB110	HG03040	AFR
GB110	HG03041	
GB112	HG03045	AFR
GB112	HG03046	AFR
GB112	HG03047	
GB113	HG03048	AFR
GB113	HG03049	AFR
GB113	HG03050	
GB114	HG03240	AFR
GB114	HG03241	AFR
GB114	HG03242	
GB116	HG03246	AFR
GB116	HG03247	AFR
GB116	HG03248	
GB117	HG03249	
GB117	HG03250	
GB117	HG03251	
GB120	HG03258	AFR
GB120	HG03259	AFR
GB120	HG03260	
GB125	HG03538	AFR
GB125	HG03539	AFR
GB125	HG03540	
GB15	HG02461	AFR
GB15	HG02462	AFR
GB15	HG02463	
GB16	HG02464	AFR
GB16	HG02465	AFR
GB16	HG02466	
GB18	HG02561	AFR
GB18	HG02562	AFR
GB18	HG02563	
GB20	HG02567	
GB20	HG02568	AFR
GB20	HG02569	
GB21	HG02570	AFR
GB21	HG02571	AFR
GB21	HG02572	
GB22	HG02573	AFR
GB22	HG02574	AFR
GB22	HG02575	
GB23	HG02582	AFR
GB23	HG02583	AFR
GB23	HG02584	
GB24	HG02585	AFR
GB24	HG02586	AFR
GB24	HG02587	
GB25	HG02588	AFR
GB25	HG02589	AFR
GB25	HG02590	
GB27	HG02594	AFR
GB27	HG02595	AFR
GB27	HG02596	
GB28	HG02610	AFR
GB28	HG02611	AFR
GB28	HG02612	
GB29	HG02613	AFR
GB29	HG02614	AFR
GB29	HG02615	
GB31	HG02620	AFR
GB31	HG02621	AFR
GB31	HG02622	
GB32	HG02623	AFR
GB32	HG02624	AFR
GB32	HG02625	
GB33	HG02628	AFR
GB33	HG02629	AFR
GB33	HG02630	
GB35	HG02634	AFR
GB35	HG02635	AFR
GB35	HG02636	
GB37	HG02642	AFR
GB37	HG02643	AFR
GB37	HG02644	
GB38	HG02645	AFR
GB38	HG02646	AFR
GB38	HG02647	
GB40	HG02666	AFR
GB40	HG02667	AFR
GB40	HG02668	
GB43	HG02675	AFR
GB43	HG02676	AFR
GB43	HG02677	
GB44	HG02678	AFR
GB44	HG02679	AFR
GB44	HG02680	
GB45	HG02702	AFR
GB45	HG02703	AFR
GB45	HG02704	
GB50	HG02715	AFR
GB50	HG02716	AFR
GB50	HG02717	
GB52	HG02721	AFR
GB52	HG02722	AFR
GB52	HG02723	
GB53	HG02756	AFR
GB53	HG02757	AFR
GB53	HG02758	
GB54	HG02759	AFR
GB54	HG02760	AFR
GB54	HG02761	
GB55	HG02762	
GB55	HG02763	AFR
GB55	HG02764	
GB57	HG02768	AFR
GB57	HG02769	AFR
GB57	HG02770	
GB58	HG02771	AFR
GB58	HG02772	AFR
GB58	HG02773	
GB60	HG02798	AFR
GB60	HG02799	AFR
GB60	HG02800	
GB62	HG02804	AFR
GB62	HG02805	AFR
GB62	HG02806	
GB63	HG02807	AFR
GB63	HG02808	AFR
GB63	HG02809	
GB64	HG02810	AFR
GB64	HG02811	AFR
GB64	HG02812	
GB65	HG02813	AFR
GB65	HG02814	AFR
GB65	HG02815	
GB66	HG02816	AFR
GB66	HG02817	AFR
GB66	HG02818	
GB67	HG02819	AFR
GB67	HG02820	AFR
GB67	HG02821	
GB73	HG02836	AFR
GB73	HG02837	AFR
GB73	HG02838	
GB74	HG02839	AFR
GB74	HG02840	AFR
GB74	HG02841	
GB78	HG02851	AFR
GB78	HG02852	AFR
GB78	HG02853	
GB79	HG02854	AFR
GB79	HG02855	AFR
GB79	HG02856	
GB81	HG02860	AFR
GB81	HG02861	AFR
GB81	HG02862	
GB84	HG02869	
GB84	HG02870	AFR
GB84	HG02871	
GB87	HG02878	AFR
GB87	HG02879	AFR
GB87	HG02880	
GB88	HG02881	AFR
GB88	HG02882	AFR
GB88	HG02883	
GB89	HG02884	AFR
GB89	HG02885	AFR
GB89	HG02886	
GB90	HG02887	AFR
GB90	HG02888	AFR
GB90	HG02889	
GB91	HG02890	AFR
GB91	HG02891	AFR
GB91	HG02892	
GB93	HG02895	AFR
GB93	HG02896	AFR
GB93	HG02897	
GB97	HG02982	AFR
GB97	HG02983	AFR
GB97	HG02984	
IBS001	HG01500	EUR
IBS001	HG01501	EUR
IBS001	HG01502	
IBS002	HG01503	EUR
IBS002	HG01504	EUR
IBS002	HG01505	
IBS003	HG01506	EUR
IBS003	HG01507	EUR
IBS003	HG01508	
IBS004	HG01509	EUR
IBS004	HG01510	EUR
IBS004	HG01511	
IBS005	HG01512	EUR
IBS005	HG01513	EUR
IBS005	HG01514	
IBS006	HG01515	EUR
IBS006	HG01516	EUR
IBS006	HG01517	
IBS007	HG01518	EUR
IBS007	HG01519	EUR
IBS007	HG01520	
IBS008	HG01521	EUR
IBS008	HG01522	EUR
IBS008	HG01523	
IBS009	HG01524	EUR
IBS009	HG01525	EUR
IBS009	HG01526	
IBS010	HG01527	EUR
IBS010	HG01528	EUR
IBS010	HG01529	
IBS011	HG01530	EUR
IBS011	HG01531	EUR
IBS011	HG01532	
IBS013	HG01536	EUR
IBS013	HG01537	EUR
IBS013	HG01538	
IBS014	HG01631	EUR
IBS014	HG01632	EUR
IBS014	HG01633	
IBS015	HG01628	EUR
IBS015	HG01629	
IBS015	HG01630	EUR
IBS016	HG01625	EUR
IBS016	HG01626	EUR
IBS016	HG01627	
IBS017	HG01622	
IBS017	HG01623	EUR
IBS017	HG01624	EUR
IBS018	HG01619	EUR
IBS018	HG01620	EUR
IBS018	HG01621	
IBS019	HG01616	
IBS019	HG01617	EUR
IBS019	HG01618	EUR
IBS020	HG01613	EUR
IBS020	HG01614	
IBS020	HG01615	EUR
IBS021	HG01610	EUR
IBS021	HG01611	
IBS021	HG01612	EUR
IBS022	HG01607	EUR
IBS022	HG01608	EUR
IBS022	HG01609	
IBS023	HG01604	
IBS023	HG01605	EUR
IBS023	HG01606	EUR
IBS024	HG01601	
IBS024	HG01602	EUR
IBS024	HG01603	EUR
IBS025	HG01667	
IBS025	HG01668	EUR
IBS025	HG01669	EUR
IBS026	HG01670	EUR
IBS026	HG01671	
IBS026	HG01672	EUR
IBS027	HG01673	EUR
IBS027	HG01674	
IBS027	HG01675	EUR
IBS028	HG01676	EUR
IBS028	HG01677	
IBS028	HG01678	EUR
IBS029	HG01679	EUR
IBS029	HG01680	EUR
IBS029	HG01681	
IBS030	HG01682	EUR
IBS030	HG01683	
IBS030	HG01684	EUR
IBS031	HG01685	EUR
IBS031	HG01686	EUR
IBS031	HG01687	
IBS034	HG01694	EUR
IBS034	HG01695	EUR
IBS034	HG01696	
IBS035	HG01697	EUR
IBS035	HG01698	
IBS035	HG01699	EUR
IBS036	HG01700	EUR
IBS036	HG01701	
IBS036	HG01702	EUR
IBS037	HG01703	
IBS037	HG01704	EUR
IBS037	HG01705	EUR
IBS038	HG01706	
IBS038	HG01707	EUR
IBS038	HG01708	EUR
IBS039	HG01709	EUR
IBS039	HG01710	EUR
IBS039	HG01711	
IBS041	HG01746	EUR
IBS041	HG01747	EUR
IBS041	HG01748	
IBS044	HG01755	
IBS044	HG01756	EUR
IBS044	HG01757	EUR
IBS046	HG01761	EUR
IBS046	HG01762	EUR
IBS046	HG01763	
IBS047	HG01764	
IBS047	HG01765	EUR
IBS047	HG01766	EUR
IBS048	HG01767	EUR
IBS048	HG01768	EUR
IBS048	HG01769	
IBS049	HG01770	EUR
IBS049	HG01771	EUR
IBS049	HG01772	
IBS050	HG01773	EUR
IBS050	HG01774	
IBS050	HG01775	EUR
IBS051	HG01776	EUR
IBS051	HG01777	EUR
IBS051	HG01778	
IBS052	HG01779	EUR
IBS052	HG01780	
IBS052	HG01781	EUR
IBS053	HG01782	
IBS053	HG01783	EUR
IBS053	HG01784	EUR
IBS054	HG01785	EUR
IBS054	HG01786	EUR
IBS054	HG01787	
IBS055	HG02217	
IBS055	HG02218	
IBS055	HG02219	EUR
IBS056	HG02220	EUR
IBS056	HG02221	EUR
IBS056	HG02222	
IBS057	HG02223	EUR
IBS057	HG02224	EUR
IBS057	HG02225	
IBS059	HG02229	
IBS059	HG02230	EUR
IBS059	HG02231	EUR
IBS060	HG02232	EUR
IBS060	HG02233	EUR
IBS060	HG02234	
IBS061	HG02235	EUR
IBS061	HG02236	EUR
IBS061	HG02237	
IBS062	HG02238	EUR
IBS062	HG02239	EUR
IBS062	HG02240	
HG03871	HG03871	SAS
HG04206	HG04206	SAS
HG04239	HG04239	SAS
IT001	HG03713	SAS
IT001	HG03715	
IT002	HG03719	
IT002	HG03722	SAS
IT002	HG03725	
IT003	HG03721	
IT003	HG03727	SAS
IT003	HG03732	
IT004	HG03772	SAS
IT004	HG03773	SAS
IT006	HG03874	SAS
IT006	HG03876	
IT006	HG03879	
IT007	HG04018	SAS
IT009	HG03714	SAS
IT009	HG03716	SAS
IT010	HG03717	SAS
IT010	HG03718	SAS
IT011	HG03730	SAS
IT012	HG03723	
IT013	HG03729	SAS
IT013	HG03731	SAS
IT015	HG03742	SAS
IT016	HG03770	SAS
IT016	HG03771	SAS
IT018	HG03781	SAS
IT019	HG03779	SAS
IT020	HG03774	SAS
IT020	HG03775	SAS
IT022	HG03777	SAS
IT023	HG03784	SAS
IT023	HG03786	SAS
IT024	HG03785	SAS
IT025	HG03790	SAS
IT026	HG03792	SAS
IT027	HG03787	SAS
IT028	HG03788	SAS
IT028	HG03789	SAS
IT029	HG03782	SAS
IT029	HG03783	
IT030	HG03866	SAS
IT030	HG03873	SAS
IT032	HG03861	SAS
IT033	HG03863	SAS
IT034	HG03864	SAS
IT035	HG03862	SAS
IT035	HG03869	SAS
IT036	HG03872	SAS
IT037	HG03870	SAS
IT038	HG03867	SAS
IT039	HG03780	SAS
IT039a	HG03882	SAS
IT042	HG03963	SAS
IT044	HG03960	SAS
IT046	HG03968	SAS
IT046	HG03969	SAS
IT047	HG03977	SAS
IT047	HG03978	SAS
IT048	HG03971	SAS
IT049	HG03972	
IT049	HG03974	SAS
IT050	HG03973	SAS
IT050	HG03976	SAS
IT052	HG03720	SAS
IT053	HG04001	SAS
IT053	HG04002	SAS
IT056	HG04019	SAS
IT056	HG04024	
IT058	HG04023	SAS
IT058	HG04025	SAS
IT059	HG04014	SAS
IT059	HG04020	SAS
IT060	HG04015	SAS
IT061	HG04017	SAS
IT061	HG04026	SAS
IT062	HG04022	SAS
IT177	HG04050	
IT178	HG04053	
IT179	HG04055	
IT180	HG04054	SAS
IT180	HG04056	SAS
IT182	HG04061	SAS
IT182	HG04062	SAS
IT183	HG04060	SAS
IT183	HG04063	SAS
IT184	HG04058	
IT184	HG04059	SAS
IT191	HG04076	SAS
IT194	HG04080	SAS
IT199	HG04090	SAS
IT199	HG04093	SAS
IT201	HG04094	SAS
IT202	HG04096	SAS
IT205	HG04098	SAS
IT21	HG03778	SAS
IT214	HG04118	SAS
IT217	HG04209	SAS
IT220	HG04198	SAS
IT220	HG04200	SAS
IT220	HG04217	
IT222	HG04202	SAS
IT223	HG04211	SAS
IT223	HG04212	SAS
IT225	HG04222	SAS
IT226	HG04214	SAS
IT227	HG04216	SAS
IT228	HG04219	SAS
IT231	HG04225	SAS
IT237	HG04235	SAS
IT240	HG04238	SAS
IT40	HG03875	SAS
IT45	HG03965	SAS
IT45	HG04070	SAS
IT5	HG03868	SAS
IT51	HG03967	SAS
NA18939	NA18939	EAS
NA18940	NA18940	EAS
NA18941	NA18941	EAS
NA18942	NA18942	EAS
NA18943	NA18943	EAS
NA18944	NA18944	EAS
NA18945	NA18945	EAS
NA18946	NA18946	EAS
NA18947	NA18947	EAS
NA18948	NA18948	EAS
NA18949	NA18949	EAS
NA18950	NA18950	EAS
NA18951	NA18951	EAS
NA18952	NA18952	EAS
NA18953	NA18953	EAS
NA18954	NA18954	EAS
NA18955	NA18955	
NA18956	NA18956	EAS
NA18957	NA18957	EAS
NA18959	NA18959	EAS
NA18960	NA18960	EAS
NA18961	NA18961	EAS
NA18962	NA18962	EAS
NA18963	NA18963	EAS
NA18964	NA18964	EAS
NA18965	NA18965	EAS
NA18966	NA18966	EAS
NA18967	NA18967	EAS
NA18968	NA18968	EAS
NA18969	NA18969	EAS
NA18970	NA18970	EAS
NA18971	NA18971	EAS
NA18972	NA18972	EAS
NA18973	NA18973	EAS
NA18974	NA18974	EAS
NA18975	NA18975	EAS
NA18976	NA18976	EAS
NA18977	NA18977	EAS
NA18978	NA18978	EAS
NA18979	NA18979	EAS
NA18980	NA18980	EAS
NA18981	NA18981	EAS
NA18982	NA18982	EAS
NA18983	NA18983	EAS
NA18984	NA18984	EAS
NA18985	NA18985	EAS
NA18986	NA18986	EAS
NA18987	NA18987	EAS
NA18988	NA18988	EAS
NA18989	NA18989	EAS
NA18990	NA18990	EAS
NA18991	NA18991	EAS
NA18992	NA18992	EAS
NA18993	NA18993	EAS
NA18994	NA18994	EAS
NA18995	NA18995	EAS
NA18997	NA18997	EAS
NA18998	NA18998	EAS
NA18999	NA18999	EAS
NA19000	NA19000	EAS
NA19001	NA19001	EAS
NA19002	NA19002	EAS
NA19003	NA19003	EAS
NA19004	NA19004	EAS
NA19005	NA19005	EAS
NA19006	NA19006	EAS
NA19007	NA19007	EAS
NA19009	NA19009	EAS
NA19010	NA19010	EAS
NA19011	NA19011	EAS
NA19012	NA19012	EAS
NA19054	NA19054	EAS
NA19055	NA19055	EAS
NA19056	NA19056	EAS
NA19057	NA19057	EAS
NA19058	NA19058	EAS
NA19059	NA19059	EAS
NA19060	NA19060	EAS
NA19062	NA19062	EAS
NA19063	NA19063	EAS
NA19064	NA19064	EAS
NA19065	NA19065	EAS
NA19066	NA19066	EAS
NA19067	NA19067	EAS
NA19068	NA19068	EAS
NA19070	NA19070	EAS
NA19072	NA19072	EAS
NA19074	NA19074	EAS
NA19075	NA19075	EAS
NA19076	NA19076	EAS
NA19077	NA19077	EAS
NA19078	NA19078	EAS
NA19079	NA19079	EAS
NA19080	NA19080	EAS
NA19081	NA19081	EAS
NA19082	NA19082	EAS
NA19083	NA19083	EAS
NA19084	NA19084	EAS
NA19085	NA19085	EAS
NA19086	NA19086	EAS
NA19087	NA19087	EAS
NA19088	NA19088	EAS
NA19089	NA19089	EAS
NA19090	NA19090	EAS
NA19091	NA19091	EAS
VN001	HG01595	EAS
VN002	HG01596	EAS
VN003	HG01597	EAS
VN004	HG01598	EAS
VN005	HG01599	EAS
VN006	HG01600	EAS
VN007	HG01840	EAS
VN008	HG01841	EAS
VN009	HG01842	EAS
VN010	HG01843	EAS
VN011	HG01844	EAS
VN012	HG01845	EAS
VN013	HG01846	EAS
VN014	HG01847	EAS
VN015	HG01848	EAS
VN016	HG01849	EAS
VN017	HG01850	EAS
VN018	HG01851	EAS
VN019	HG01852	EAS
VN020	HG01853	EAS
VN022	HG01855	EAS
VN024	HG01857	EAS
VN025	HG01858	EAS
VN026	HG01859	EAS
VN027	HG01860	EAS
VN028	HG01861	EAS
VN029	HG01862	EAS
VN030	HG01863	EAS
VN031	HG01864	EAS
VN032	HG01865	EAS
VN033	HG01866	EAS
VN034	HG01867	EAS
VN035	HG01868	EAS
VN036	HG01869	EAS
VN037	HG01870	EAS
VN038	HG01871	EAS
VN039	HG01872	EAS
VN040	HG01873	EAS
VN041	HG01874	EAS
VN045	HG01878	EAS
VN046	HG02015	
VN046	HG02016	EAS
VN046	HG02017	EAS
VN047	HG02018	
VN047	HG02019	EAS
VN047	HG02020	EAS
VN048	HG02021	
VN048	HG02023	EAS
VN049	HG02024	
VN049	HG02025	EAS
VN049	HG02026	EAS
VN050	HG02027	
VN050	HG02028	EAS
VN050	HG02029	EAS
VN051	HG02030	
VN051	HG02031	EAS
VN051	HG02032	EAS
VN052	HG02035	EAS
VN054	HG02040	EAS
VN056	HG02046	
VN056	HG02047	EAS
VN057	HG02048	EAS
VN058	HG02049	EAS
VN059	HG02050	EAS
VN060	HG02056	
VN060	HG02057	EAS
VN060	HG02058	EAS
VN061	HG02059	
VN061	HG02060	EAS
VN061	HG02061	EAS
VN062	HG02064	EAS
VN063	HG02067	EAS
VN064	HG02068	
VN064	HG02069	EAS
VN064	HG02070	EAS
VN065	HG02071	
VN065	HG02072	EAS
VN065	HG02073	EAS
